Part Number:,PKP266MD28AA-L,,,,,,,,
Manufacture:,Vexta,,,,,,,,
Size:,23,,,,,,,,
Deg:,DS,,,,,,,,
Type,0.9,,,,,,,,
PID Setting Kp:,4.000000,,,,,,,,
PID Setting Ki:,220.000000,,,,,,,,
PID Setting Kd:,0.000000,,,,,,,,
PID Setting Kc:,220.000000,,,,,,,,
 ,,,,,,,,,
 ,,,,,,,,,
Current Settings (mA),Speed (uSteps/Sec),Dyna Speed (uSteps/Sec),Torque 1 (mNm),Torque 2 (mNm),Torque 3 (mNm),Torque 4 (mNm),Torque 5 (mNm),Mean (mNm),Standard Dev
2800,80000,79360,153.4,153.4,152.1,,,152.9667,0.7505
2800,160000,159573,138.8,138.7,138.7,,,138.7333,0.0577
2800,240000,205653,1.7,1.6,1.6,,,1.6413,0.0529
2800,320000,198827,1.6,1.6,1.6,,,1.5963,0.0131
2800,400000,199680,1.6,1.6,1.5,,,1.5847,0.0458
2800,480000,194560,1.6,1.6,1.5,,,1.5950,0.0478
2800,560000,558080,6.7,6.6,9.4,,,9.3950,NaN
2500,80000,80213,137.5,137.5,137.5,,,137.5000,0.0000
2500,160000,160427,124.4,124.0,124.1,,,124.1667,0.2082
2500,240000,188587,1.6,1.6,1.6,,,1.6013,0.0387
2500,320000,194560,1.5,1.5,1.5,,,1.5030,0.0369
2500,400000,201387,1.6,1.6,1.5,,,1.5353,0.0696
2500,480000,192853,1.5,1.5,1.5,,,1.4690,0.0131
2500,560000,202240,1.6,1.6,1.5,,,1.5377,0.0624
2000,80000,79360,115.5,115.3,114.7,,,115.1667,0.4163
2000,160000,160427,97.6,97.7,97.7,,,97.6600,0.0872
2000,240000,213333,1.6,1.5,1.5,,,1.5523,0.0336
2000,320000,207360,1.5,68.5,1.5,,,68.5400,NaN
2000,400000,399360,1.3,1.3,58.8,,,58.7500,NaN
2000,480000,189440,1.3,1.3,1.2,,,1.2673,0.0412
2000,560000,202240,1.2,1.2,1.2,,,1.2213,0.0006
1000,80000,80213,47.8,47.8,47.3,,,47.6067,0.2483
1000,160000,168107,1.9,2.8,1.6,,,2.7870,NaN
1000,240000,47787,0.5,1.6,1.4,,,1.4580,0.1344
1000,320000,59733,1.7,1.8,1.4,,,1.7390,0.0622
1000,400000,400213,2.0,1.4,9.1,,,9.1150,NaN
1000,480000,478720,1.6,1.5,1.4,,,1.5187,0.0927
1000,560000,47787,1.2,1.2,1.2,,,1.2137,0.0087
